id,asins,brand,categories,colors,dateAdded,name,prices.amountMin,prices.currency
AVpfVEvv1cnluZ0-iuyO,"B006MQEB74,B006MQEAWK,B006MQE0YS",Sansha,"Ballet & Dance,Athletic,Men,Shoes,Clothing, Shoes & Jewelry",Black,2015-09-10T19:39:10Z,Men's T-bojango Tap Shoe,80.00,USD
AVpe5u_xLJeJML43x5SL,B00BKQTD88,Daniel Wellington,"Watches,Clothing, Shoes & Jewelry,Men,Watch Bands,Jewelry & Watches,Wristwatch Bands",Gold,2015-12-01T00:47:10Z,Daniel Wellington Men's Bristol Rose Leather Brown Watch Band 0309dw,65.0,USD
AVpfZNzh1cnluZ0-j_2u,"B013USFBVG,B01C9KITGA",Nike,"Athletic,Men,Shoes,Clothing, Shoes & Jewelry,Golf","WhiteBright CrimsonBlack,ZESTWHITE-WHITE-WHITE-ATOM RED,BirchMint-Smoke-Dark Cinder,ZestWhite-Wheat-Atomic Red,White,BlackBlackWhite,WhitePurple ChalkMetallic PlatinumMint,Midnight NavyPhoto Blue,WhiteWolf GreyBlack,GreyBlue,Electro PurpleVoltBlack,BlackWhite Pink Green,WhiteBlackBright Crimson,Black  White,-LACKWHITE-LCKY GRN-LCKY GRN,Midnight NavyWhitePhoto Blue,WhiteBlackWolf Grey",2016-03-26T17:59:36Z,Men's Lunar Control 4 Golf Shoe,34.95,USD
AVpfAJJEilAPnD_xSxbF,B005FM82HG,Stuhrling Original,"Marketplace,Watches,Clothing, Shoes & Jewelry,Men,Wrist Watches",Silver,2015-07-06T12:16:53Z,Stuhrling Original Men's 'legacy' Automatic Stainless Steel Dress Watch,186.3,USD
AVpfUqZgilAPnD_xZneb,"B008XESD0E,B008XF127O,B00EL46H5S",Five Ten,"Shoes,Clothing, Shoes & Jewelry,Men,Loafers & Slip-Ons","Black,Ocean Depths",2016-05-21T13:34:40Z,Men's Water Tennie Water Shoe,144.00,USD
AVpfIcM9ilAPnD_xVn5U,B0018BGESW,Seirus Innovation,"Accessories,Men,Clothing, Shoes & Jewelry,Sports,Hats & Caps,Balaclavas",Black,2015-01-16T12:31:57Z,Seirus Innovation 2205 Winter Cold Weather Thermax Headliner For Ultimate Head Protection,3.35,USD
AVpfJgVrLJeJML433bF5,B00XASB0Q2,Hugo by Hugo Boss,"Men,Fashion Sneakers,Shoes,Clothing, Shoes & Jewelry",Dark Red,2016-03-10T18:59:17Z,Hugo By Hugo Boss Men's Fucheck Fashion Sneaker,245.00,USD
AVpe_7nKilAPnD_xSsma,"B00VVNGAWW,B00VVNGAHW,B00VVNGAI6",Easy USA,"Athletic,Water Shoes,Men,Shoes,Clothing, Shoes & Jewelry","BlackRoyal,BlackNavy,BlackBlack,BlackGrey",2016-05-21T13:30:11Z,Men's High Top Water Shoes,12.13,USD
AVpfGSPQilAPnD_xU55r,B00OKXKPRG,Deer Stags,"Shoes,Clothing, Shoes & Jewelry,Men,Sandals,All Men's Shoes,Men's Shoes,Clothing",Dark Brown,2015-12-01T00:47:04Z,Deer Stags Mens Aruba Faux Leather Textured Fisherman Sandals,50.0,USD
AVpe3vC2LJeJML43xHGR,"B000TD7J52,B000QV0LCK",Rothco,"Men,Uniforms, Work & Safety,Clothing, Shoes & Jewelry,Sports,Military,Clothing",Grey,2015-11-29T23:14:37Z,Rothco P/t Shorts,6.49,USD
AVpfOGVYLJeJML4347k_,B003YUND7U,,"Loafers & Slip-Ons,Men,Shoes,Clothing, Shoes & Jewelry",khakiespresso,2016-03-26T17:58:43Z,Crocs Men's Walu Loafer,39.00,USD
AVpfPqpAilAPnD_xYAFC,"B00H5AJ3EC,B00DWGTYJC,B00E36W48S,B00EQE5LGY,B003YVENIM",Nike,"Shoes,Clothing, Shoes & Jewelry,Men,Athletic,Team Sports,Basketball",Photo BlueWolf GreyBlack,2016-03-27T12:09:15Z,Nike Hyperdunk 2013 Mens Basketball Shoes 599537-300,74.99,USD
AVpfKYO71cnluZ0-fPRH,B0018OY5X0,Levi's,"Clothing & Accessories,Clothing, Shoes & Jewelry,Men,Clothing,Jeans",Dark Chipped,2015-04-23T10:58:26Z,Levi's Men's 569 Loose Straight-leg Jean,34.99,USD
AVpe6qbb1cnluZ0-Zw3R,B0162W3FII,Jellan,"Novelty,Hoodies,Men,Novelty & More,Clothing, Shoes & Jewelry,Clothing","Brown,Black,Gray,Red,Burgundy,Navy,Green,White,Blue,Pink,Ocean Blue",2015-12-23T21:47:50Z,S-xxl Unisex Pullover Hoodie 13 Colors - Siamese Kitty Astronaut Galaxy 3,36.80,USD
AVpfNn-nilAPnD_xXVN6,B00CP4XFAQ,Stuhrling Original,"Watches,Clothing, Shoes & Jewelry,Men,Wrist Watches",Brown,2016-03-30T17:19:48Z,Stuhrling Original Men's 533.03 Classic Ascot Solei Ultra-slim Watch With Leather Band,345.00,USD
